0	0
1	5
2	1
3	0
4	6
5	231
6	2229
7	3133
8	3792
9	4747
10	5842
11	7342
12	9530
13	11910
14	13476
15	14293
16	15761
17	17004
18	17053
19	16279
20	15312
21	14521
22	13738
23	13016
24	12277
25	11776
26	11498
27	11079
28	11159
29	10874
30	10672
31	10502
32	10127
33	9906
34	9728
35	9411
36	9181
37	9056
38	8654
39	8374
40	8236
41	7852
42	7660
43	7551
44	7121
45	7105
46	6806
47	6693
48	6479
49	6481
50	6251
51	6057
52	5980
53	5998
54	6004
55	5674
56	5697
57	5463
58	5290
59	5249
60	5072
61	5120
62	4915
63	4725
64	4571
65	4583
66	4505
67	4386
68	4347
69	4189
70	4018
71	4059
72	3989
73	3789
74	3703
75	3709
76	3660
77	3547
78	3404
79	3410
80	3366
81	3360
82	3272
83	3301
84	3258
85	3129
86	3169
87	2988
88	2937
89	2968
90	2861
91	2746
92	2767
93	2791
94	2665
95	2732
96	2763
97	2840
98	2711
99	2665
100	2613
101	2552
102	2543
103	2484
104	2448
105	2345
106	2326
107	2218
108	2137
109	2121
110	2090
111	2057
112	2015
113	1948
114	1870
115	1852
116	1818
117	1869
118	1829
119	1833
120	1915
121	1852
122	1878
123	1901
124	1870
125	1919
126	1977
127	1981
128	2011
129	2048
130	2107
131	2125
132	2015
133	2114
134	2152
135	2096
136	2176
137	2047
138	2138
139	2039
140	2044
141	1931
142	1974
143	1885
144	1855
145	1847
146	1855
147	1684
148	1571
149	1647
150	1511
151	1443
152	1464
153	1381
154	1350
155	1320
156	1253
157	1287
158	1254
159	1210
160	1287
161	1309
162	1274
163	1316
164	1348
165	1343
166	1341
167	1347
168	1336
169	1402
170	1326
171	1411
172	1363
173	1378
174	1355
175	1350
176	1298
177	1343
178	1310
179	1233
180	1252
181	1242
182	1168
183	1089
184	1081
185	1098
186	1050
187	1062
188	965
189	953
190	996
191	828
192	885
193	835
194	904
195	826
196	817
197	836
198	780
199	824
200	798
201	780
202	839
203	836
204	794
205	760
206	787
207	748
208	742
209	759
210	796
211	788
212	792
213	804
214	758
215	752
216	794
217	806
218	772
219	769
220	749
221	712
222	786
223	756
224	763
225	745
226	719
227	712
228	723
229	671
230	738
231	696
232	691
233	664
234	751
235	682
236	739
237	641
238	681
239	686
240	638
241	648
242	615
243	621
244	664
245	616
246	600
247	608
248	559
249	572
250	596
251	583
252	558
253	596
254	519
255	554
256	589
257	583
258	562
259	544
260	535
261	537
262	524
263	527
264	568
265	552
266	535
267	536
268	564
269	551
270	521
271	497
272	493
273	484
274	463
275	537
276	486
277	502
278	494
279	475
280	496
281	515
282	443
283	471
284	470
285	457
286	464
287	409
288	472
289	473
290	453
291	434
292	469
293	436
294	438
295	461
296	473
297	439
298	454
299	443
300	483
301	479
302	500
303	441
304	440
305	469
306	499
307	465
308	456
309	478
310	441
311	440
312	461
313	447
314	464
315	448
316	504
317	458
318	455
319	474
320	419
321	442
322	468
323	449
324	490
325	436
326	435
327	465
328	475
329	490
330	427
331	440
332	404
333	423
334	416
335	418
