0	1
1	10
2	6
3	12
4	602
5	1877
6	1952
7	2170
8	2508
9	3180
10	3706
11	4386
12	5182
13	6557
14	7734
15	9423
16	10484
17	11160
18	11401
19	12141
20	12735
21	12917
22	12928
23	12383
24	11849
25	11629
26	11149
27	10882
28	10506
29	10092
30	9948
31	9713
32	9642
33	9143
34	8980
35	8772
36	8400
37	8405
38	8237
39	8111
40	8066
41	7855
42	7596
43	7498
44	7344
45	7189
46	7001
47	6739
48	6567
49	6349
50	6265
51	6058
52	6112
53	5770
54	5692
55	5499
56	5387
57	5398
58	5182
59	5023
60	5091
61	4924
62	5026
63	4828
64	4837
65	4628
66	4620
67	4476
68	4426
69	4223
70	4150
71	4098
72	4090
73	3911
74	3959
75	3759
76	3870
77	3756
78	3687
79	3588
80	3497
81	3504
82	3355
83	3321
84	3220
85	3124
86	3063
87	3043
88	2970
89	3010
90	2767
91	2836
92	2855
93	2826
94	2772
95	2785
96	2767
97	2662
98	2717
99	2654
100	2553
101	2493
102	2516
103	2522
104	2437
105	2311
106	2333
107	2412
108	2231
109	2311
110	2278
111	2341
112	2353
113	2346
114	2315
115	2258
116	2220
117	2108
118	2279
119	2123
120	2041
121	2068
122	2051
123	1916
124	1917
125	1776
126	1787
127	1759
128	1684
129	1647
130	1592
131	1651
132	1594
133	1536
134	1559
135	1530
136	1498
137	1523
138	1468
139	1578
140	1549
141	1587
142	1581
143	1519
144	1506
145	1579
146	1568
147	1643
148	1748
149	1667
150	1699
151	1800
152	1721
153	1763
154	1771
155	1803
156	1802
157	1818
158	1729
159	1715
160	1728
161	1742
162	1622
163	1705
164	1688
165	1584
166	1634
167	1512
168	1506
169	1449
170	1412
171	1356
172	1341
173	1265
174	1315
175	1149
176	1270
177	1181
178	1156
179	1144
180	1083
181	1076
182	1044
183	1011
184	1049
185	1138
186	1077
187	1099
188	1014
189	1110
190	1101
191	1062
192	1034
193	1114
194	1130
195	1107
196	1063
197	1127
198	1142
199	1208
200	1086
201	1164
202	1071
203	1055
204	1122
205	1068
206	1089
207	1055
208	993
209	1007
210	1008
211	1046
212	925
213	927
214	918
215	814
216	799
217	832
218	797
219	853
220	783
221	743
222	738
223	701
224	747
225	694
226	730
227	678
228	729
229	695
230	696
231	700
232	653
233	597
234	708
235	713
236	643
237	693
238	638
239	608
240	643
241	659
242	678
243	665
244	638
245	659
246	694
247	658
248	632
249	666
250	681
251	661
252	656
253	618
254	665
255	667
256	678
257	605
258	649
259	613
260	625
261	627
262	593
263	563
264	619
265	561
266	595
267	591
268	606
269	554
270	599
271	589
272	608
273	565
274	529
275	529
276	534
277	585
278	545
279	521
280	510
281	511
282	538
283	527
284	524
285	538
286	487
287	495
288	522
289	517
290	477
291	521
292	518
293	508
294	489
295	508
296	484
297	448
298	494
299	483
300	498
301	475
302	465
303	500
304	481
305	474
306	427
307	455
308	495
309	431
310	463
311	467
312	443
313	449
314	458
315	448
316	448
317	452
318	439
319	497
320	463
321	429
322	443
323	421
324	448
325	394
326	430
327	411
328	406
329	388
330	459
331	409
332	401
333	438
334	435
335	407
336	388
337	422
338	431
339	399
340	427
341	405
342	398
343	419
344	408
345	408
346	431
347	389
348	412
349	455
350	428
351	386
352	383
353	427
354	399
355	413
356	443
357	359
358	430
359	444
360	435
361	413
362	412
363	436
364	424
365	397
366	406
367	407
368	468
369	399
370	428
371	398
372	392
373	411
374	427
375	426
376	395
377	454
378	385
379	416
380	403
381	367
382	460
383	390
384	404
385	384
386	408
387	398
388	370
389	393
390	372
391	361
392	375
393	369
394	357
395	380
396	363
397	380
398	342
399	369
400	348
401	343
402	337
403	394
404	348
405	329
406	329
407	365
408	338
409	351
410	311
411	373
412	358
413	328
414	316
415	341
416	343
417	323
418	307
419	250
420	319
421	340
422	313
423	326
424	314
425	326
426	307
427	296
428	302
429	328
430	341
431	318
432	327
433	316
434	329
435	296
436	311
437	294
438	304
439	302
440	294
441	317
442	295
443	311
444	320
445	308
446	311
447	311
448	294
449	329
450	316
451	329
452	302
453	333
454	307
455	308
456	312
457	319
458	312
459	318
460	312
461	326
462	326
463	327
464	317
465	315
466	311
467	320
468	321
469	322
470	324
471	305
472	293
473	323
474	286
475	289
476	298
477	297
478	301
479	283
480	330
481	273
482	278
483	264
484	298
485	276
486	273
487	257
488	287
489	268
490	262
491	263
492	282
493	260
494	264
495	263
496	257
497	251
498	228
499	224
500	215
501	250
502	224
503	246
504	226
505	228
506	241
507	230
508	233
509	242
510	232
511	223
512	236
513	201
514	191
515	225
516	212
517	227
518	177
519	218
520	227
521	207
522	204
523	186
524	195
525	212
526	211
527	197
528	222
529	190
530	192
531	215
532	223
533	194
534	205
535	196
536	200
537	201
538	221
539	187
540	209
541	198
542	239
543	165
544	200
545	186
546	195
547	182
548	213
549	189
550	207
551	186
552	234
553	218
554	205
555	198
556	186
557	193
558	202
559	215
560	187
561	222
562	212
563	195
564	222
565	201
566	190
567	221
568	194
569	209
570	209
571	230
572	248
573	191
574	202
575	225
576	207
577	214
578	210
579	186
580	210
581	198
582	189
583	194
584	213
585	198
586	192
587	200
588	184
589	188
590	163
591	183
592	154
593	176
594	184
595	174
596	168
597	167
598	173
599	161
600	150
601	152
602	151
603	149
604	123
605	169
606	155
607	172
608	135
609	140
610	136
611	154
612	148
613	164
614	130
615	116
616	132
617	138
618	153
619	150
620	137
621	133
622	148
623	135
624	109
625	113
626	129
627	132
628	133
629	156
630	126
631	117
632	133
633	140
634	120
635	141
636	116
637	117
638	115
639	105
640	131
641	111
642	98
643	116
644	125
645	83
646	119
647	99
648	96
649	129
650	109
651	125
652	106
653	119
654	102
655	94
656	103
657	115
658	103
659	104
660	107
661	88
662	85
663	98
664	103
665	126
666	104
667	95
668	100
669	108
670	108
671	124
672	117
673	108
674	111
675	105
676	121
677	105
678	110
679	112
680	109
681	109
682	110
683	109
684	120
685	110
686	122
687	107
688	103
689	120
690	120
691	102
692	89
693	133
694	136
695	139
696	131
697	127
698	131
699	126
700	139
701	155
702	134
703	135
704	120
705	138
706	118
707	141
708	126
709	144
710	155
711	156
712	159
713	158
714	162
715	167
716	137
717	153
718	160
719	164
720	161
721	164
722	165
723	158
724	168
725	148
726	142
727	189
728	154
729	182
730	158
731	163
732	130
733	141
734	157
735	161
736	141
737	136
738	147
739	139
740	138
741	111
742	146
743	144
744	126
745	134
746	111
747	94
748	130
749	125
750	118
751	107
752	106
753	129
754	117
755	107
756	94
757	104
758	101
759	104
760	89
761	94
762	72
763	84
764	81
765	75
766	82
767	96
768	89
769	71
770	77
771	75
772	84
773	63
774	68
775	60
776	53
777	82
778	60
779	68
780	72
781	68
782	54
783	66
784	69
785	61
786	63
787	75
788	68
789	82
790	68
791	56
792	66
793	72
794	51
795	52
796	81
797	76
798	72
799	70
800	65
801	62
802	61
803	63
804	58
805	86
806	61
807	66
808	60
809	60
810	70
811	86
812	61
813	69
814	83
815	72
816	67
817	68
818	79
819	66
820	82
821	66
822	70
823	76
824	89
825	75
826	59
827	82
828	73
829	70
830	77
831	78
832	70
833	85
834	54
835	76
836	69
837	75
838	68
839	57
840	78
841	80
842	68
843	62
844	80
845	65
846	66
847	63
848	66
849	58
850	57
851	71
852	73
853	59
854	77
855	78
856	61
857	56
858	62
859	69
860	69
861	65
862	58
863	60
864	56
865	67
866	59
867	63
868	78
869	74
870	51
871	64
872	64
873	64
874	57
875	56
876	53
877	63
878	51
879	62
880	64
881	57
882	66
883	60
884	67
885	57
886	57
887	53
888	63
889	66
890	61
891	55
892	57
893	47
894	52
895	51
896	47
897	52
898	51
899	54
900	45
901	57
902	53
903	55
904	46
905	55
906	46
907	53
908	63
909	61
910	56
911	67
912	62
913	47
914	54
915	63
916	49
917	45
918	55
919	47
920	62
921	54
922	55
923	39
924	55
925	48
926	52
927	63
928	56
929	48
930	48
931	49
932	48
933	70
934	48
935	50
936	58
937	45
938	60
939	48
940	47
941	50
942	48
943	52
944	48
945	63
946	49
947	40
948	46
949	46
950	43
951	55
952	41
953	39
954	46
955	49
956	58
957	63
958	44
959	64
960	56
961	51
962	44
963	39
964	43
965	59
966	52
967	46
968	48
969	47
970	45
971	54
972	42
973	46
974	45
975	33
976	48
977	48
978	46
979	51
980	48
981	55
982	41
983	36
984	63
985	51
986	46
987	40
988	46
989	50
990	43
991	41
992	43
993	43
994	43
995	40
996	51
997	57
998	44
999	58
1000	64
1001	37
1002	43
1003	35
1004	52
1005	61
1006	55
1007	39
1008	55
1009	32
1010	28
1011	41
1012	52
1013	44
1014	48
1015	36
1016	50
1017	56
1018	49
1019	51
1020	50
1021	53
1022	41
1023	41
